shape,channel,filename
"(29, 9492, 9971)",29,HBM347.PSLC.425/reg1_stitched_expressions.ome.tif
"(29, 9496, 9972)",29,HBM863.FDNH.844/reg1_stitched_expressions.ome.tif
"(29, 9489, 9977)",29,HBM992.RHJW.288/reg1_stitched_expressions.ome.tif
"(29, 7491, 12664)",29,HBM622.JXWQ.554/reg1_stitched_expressions.ome.tif
"(11, 9498, 12667)",11,HBM893.FNLL.223/reg1_stitched_expressions.ome.tif
"(11, 9496, 9986)",11,HBM362.RFHX.274/reg1_stitched_expressions.ome.tif
"(29, 9489, 9975)",29,HBM495.VWBD.428/reg1_stitched_expressions.ome.tif
"(11, 9497, 18020)",11,HBM353.PBPQ.757/reg1_stitched_expressions.ome.tif
"(11, 9490, 9974)",11,HBM946.WMTC.283/reg1_stitched_expressions.ome.tif
"(29, 9490, 12667)",29,HBM857.ZBDC.975/reg1_stitched_expressions.ome.tif
"(29, 9488, 12657)",29,HBM496.ZJFC.554/reg1_stitched_expressions.ome.tif
"(29, 9485, 10000)",29,HBM465.HZHH.676/reg1_stitched_expressions.ome.tif
"(11, 9487, 12656)",11,HBM356.BVRR.244/reg1_stitched_expressions.ome.tif
"(11, 9493, 12656)",11,HBM626.KXRZ.238/reg1_stitched_expressions.ome.tif
"(29, 9486, 9971)",29,HBM887.SHVF.747/reg1_stitched_expressions.ome.tif
"(29, 9496, 9973)",29,HBM268.NKXB.243/reg1_stitched_expressions.ome.tif
"(29, 7480, 12649)",29,HBM938.TNNT.879/reg1_stitched_expressions.ome.tif
"(11, 9494, 9976)",11,HBM279.RTXC.523/reg1_stitched_expressions.ome.tif
"(11, 7478, 9965)",11,HBM542.THBC.733/reg1_stitched_expressions.ome.tif
"(29, 9500, 12682)",29,HBM597.KZXW.469/reg1_stitched_expressions.ome.tif
"(14, 11498, 12664)",14,HBM898.LWCS.878/reg1_stitched_expressions.ome.tif
"(11, 13520, 12668)",11,HBM339.LBCC.963/reg1_stitched_expressions.ome.tif
"(11, 9493, 12662)",11,HBM545.WPDT.262/reg1_stitched_expressions.ome.tif
"(29, 9492, 9973)",29,HBM373.LDGF.766/reg1_stitched_expressions.ome.tif
"(11, 5467, 7286)",11,HBM796.FXBG.243/reg1_stitched_expressions.ome.tif
"(29, 7481, 12665)",29,HBM522.BSZT.385/reg1_stitched_expressions.ome.tif
"(29, 9486, 9973)",29,HBM528.NMQV.274/reg1_stitched_expressions.ome.tif
"(29, 9486, 9978)",29,HBM396.BXSQ.568/reg1_stitched_expressions.ome.tif
"(11, 9497, 9982)",11,HBM545.FGNZ.644/reg1_stitched_expressions.ome.tif
"(11, 9484, 9968)",11,HBM573.GQRD.788/reg1_stitched_expressions.ome.tif
"(11, 5468, 7286)",11,HBM437.XSFH.532/reg1_stitched_expressions.ome.tif
"(29, 9491, 9973)",29,HBM825.KFFT.669/reg1_stitched_expressions.ome.tif
"(29, 9496, 9974)",29,HBM557.SGTC.262/reg1_stitched_expressions.ome.tif
"(11, 9490, 9972)",11,HBM585.SVFL.994/reg1_stitched_expressions.ome.tif
"(11, 9498, 9982)",11,HBM822.MQNG.225/reg1_stitched_expressions.ome.tif
"(29, 9493, 9973)",29,HBM893.CCKX.496/reg1_stitched_expressions.ome.tif
"(11, 9500, 10007)",11,HBM254.XGFQ.345/reg1_stitched_expressions.ome.tif
"(29, 9495, 9994)",29,HBM997.PVCF.629/reg1_stitched_expressions.ome.tif
"(11, 5467, 7283)",11,HBM695.NCKX.893/reg1_stitched_expressions.ome.tif
"(11, 9488, 12657)",11,HBM732.GQLB.743/reg1_stitched_expressions.ome.tif
"(29, 9493, 9976)",29,HBM685.TBGN.663/reg1_stitched_expressions.ome.tif
"(11, 9498, 18035)",11,HBM785.CNWZ.888/reg1_stitched_expressions.ome.tif
